metric,value
start_date,2010-09-17
end_date,2026-09-17
years,16.0
currency,CAD
rebalancing,buy-and-hold
total_investment_cad,100000.0
current_portfolio_value_cad,24743195.57
profit_loss_cad,24643195.57
profit_loss_status,Profit
total_return_pct,24643.2
cagr_pct,41.12
portfolio_growth_multiple,247.43
avg_annual_growth_pct,48.61
annualised_volatility_pct,32.79
sharpe_ratio,1.126
risk_free_rate_pct,3.0
max_drawdown_pct,-56.7
max_drawdown_date,2023-01-05
best_stock,NVDA
worst_stock,TD
avg_daily_volume_all_holdings,891648708
