date,portfolio_value,value_AAPL,value_MSFT,value_NVDA,value_AMZN,value_TSLA,value_RY,value_TD,profit_loss_cad,profit_loss_status,profit_loss_AAPL,profit_loss_MSFT,profit_loss_NVDA,profit_loss_AMZN,profit_loss_TSLA,profit_loss_RY,profit_loss_TD,portfolio_daily_return,portfolio_drawdown_pct
2010-09-17,100000.0,20000.0,20000.0,15000.0,15000.0,10000.0,10000.0,10000.0,0.0,Break-even,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2010-09-20,101266.3702,20471.97,20063.5945,15159.7533,15227.318,10354.9315,9957.9823,10030.8206,1266.3702,Profit,471.97,63.5945,159.7533,227.318,354.9315,-42.0177,30.8206,0.0127,0.0
2010-09-21,101903.4993,20578.5898,19914.0111,16029.8414,15220.1209,10251.0279,9922.4275,9987.4806,1903.4993,Profit,578.5898,-85.9889,1029.8414,220.1209,251.0279,-77.5725,-12.5194,0.0063,0.0
2010-09-22,101338.201,20891.2131,19508.4136,16186.5329,15349.0296,9818.2459,9766.6619,9818.1039,1338.201,Profit,891.2131,-491.5864,1186.5329,349.0296,-181.7541,-233.3381,-181.8961,-0.0055,-0.5547
2010-09-23,101231.0214,20941.5138,19333.3727,16489.9501,15426.7092,9649.1307,9690.0509,9700.2939,1231.0214,Profit,941.5138,-666.6273,1489.9501,426.7092,-350.8693,-309.9491,-299.7061,-0.0011,-0.6599
2010-09-24,103631.2587,21091.5714,19508.0571,17322.1561,16148.063,9870.3161,9866.656,9824.4391,3631.2587,Profit,1091.5714,-491.9429,2322.1561,1148.063,-129.6839,-133.344,-175.5609,0.0237,0.0
2010-09-27,102987.3716,21001.6551,19478.4786,16932.6487,16006.7474,10078.5467,9769.3168,9719.9783,2987.3716,Profit,1001.6551,-521.5214,1932.6487,1006.7474,78.5467,-230.6832,-280.0217,-0.0062,-0.6213
2010-09-28,103544.5117,20784.4314,19526.5912,16978.9357,16111.8056,10552.7481,9841.4002,9748.5995,3544.5117,Profit,784.4314,-473.4088,1978.9357,1111.8056,552.7481,-158.5998,-251.4005,0.0054,-0.0837
2010-09-29,103439.2268,20809.5255,19369.555,16838.2135,16030.8368,10832.3985,9833.2506,9725.447,3439.2268,Profit,809.5255,-630.445,1838.2135,1030.8368,832.3985,-166.7494,-274.553,-0.001,-0.1853
2010-09-30,102063.7154,20542.7659,19358.8003,16553.8875,15833.1606,10056.7497,9906.0745,9812.2768,2063.7154,Profit,542.7659,-641.1997,1553.8875,833.1606,56.7497,-93.9255,-187.7232,-0.0133,-1.5126
